Tra My,Kham Duc,Tien Phuoc,Nong Son,Thanh My,Giao Thuy,Cau Lau,Hoi An,Ai Nghia,Cam Le,Da Nang
1.40,0.90,0.76,0.71,-0.20,0.86,1.58,1.89,0.31,1.53,1.73
0.74,0.89,0.17,-0.19,-0.67,-0.43,-0.02,-0.03,-0.42,-0.31,-0.24
-0.55,-1.24,-1.57,-0.54,-0.16,-1.28,-1.18,-1.60,-1.63,-0.83,-1.20
1.95,0.58,1.16,1.27,1.92,1.75,1.34,1.32,0.89,1.44,1.47
1.77,0.30,0.69,0.93,1.45,0.68,0.10,0.20,0.50,0.23,0.45
1.78,1.26,0.89,1.32,0.65,0.45,-0.01,0.18,0.42,0.86,0.52
-0.19,0.83,0.71,1.11,-0.41,0.41,-0.43,-0.65,-0.19,-0.84,-0.78
0.83,1.08,1.57,0.75,1.32,1.14,0.68,0.63,0.96,0.86,0.74
-0.48,-0.46,-0.92,-0.64,-1.38,-1.05,-1.22,-1.19,-1.22,-1.34,-1.05
0.73,0.78,1.17,1.27,1.11,1.04,1.01,1.10,0.96,0.74,0.78
0.87,0.78,0.39,0.64,0.01,0.22,0.04,0.43,-0.06,0.21,-0.03
1.15,0.78,0.52,0.87,0.49,1.04,1.33,1.28,0.67,1.24,1.68
-0.09,-0.25,-0.28,-0.70,0.43,-0.37,-0.54,-0.54,-0.13,-0.90,-0.69
1.42,0.82,1.19,0.48,-0.37,0.30,1.24,1.18,0.32,0.36,0.32
1.30,1.37,1.99,2.86,2.53,1.01,0.93,0.58,1.23,1.24,1.41
0.18,-0.20,-1.31,-2.44,-0.73,-2.17,-1.23,-1.58,-1.57,-1.57,-1.57
1.52,-0.01,1.39,1.00,0.24,0.88,0.81,0.81,0.50,1.62,1.50
-1.18,-0.06,0.42,0.01,-0.74,1.11,0.68,0.55,1.21,0.66,1.13
-1.26,-1.22,-1.09,-1.79,-0.74,-1.29,0.05,-0.72,-0.89,-0.91,-0.91
1.53,0.54,1.03,1.69,1.55,0.94,1.13,1.29,1.02,1.24,1.59
-1.42,-1.37,-0.80,-1.50,-1.28,-1.15,-1.75,-1.65,-1.55,-1.11,-1.18
0.22,0.23,0.54,0.58,0.76,0.43,0.58,0.56,0.49,0.59,0.51
-0.50,-0.67,-0.40,-0.23,-0.78,-0.51,-0.20,0.29,-0.58,-0.44,-0.39
