Tra My,Kham Duc,Tien Phuoc,Nong Son,Thanh My,Giao Thuy,Cau Lau,Hoi An,Ai Nghia,Cam Le,Da Nang
1.47,0.83,0.90,0.85,-0.28,0.74,1.73,2.08,0.46,1.69,1.85
0.68,0.73,1.50,1.50,1.49,1.47,1.28,1.39,1.17,0.74,0.78
0.83,0.67,0.21,0.52,-0.08,0.08,-0.04,0.38,-0.14,0.05,-0.22
1.08,0.70,0.45,0.79,0.37,0.96,1.25,1.20,0.55,1.15,1.58
0.66,0.81,0.14,-0.14,-0.62,-0.26,-0.13,-0.18,-0.46,-0.49,-0.32
-0.66,-1.45,-1.50,-0.54,-0.19,-1.77,-1.11,-1.57,-1.50,-0.78,-1.16
1.83,0.84,1.18,1.24,1.96,1.68,1.85,1.63,1.28,1.86,1.85
1.83,0.15,0.65,1.05,1.71,1.14,0.73,0.90,1.18,0.47,0.75
1.63,1.26,1.06,1.37,0.72,0.57,0.28,0.53,0.76,1.36,0.81
-0.12,0.87,0.72,1.17,-0.26,1.12,-0.22,-0.52,0.13,-0.76,-0.67
0.72,0.96,1.44,0.65,1.35,1.29,0.81,0.77,1.02,1.12,0.95
-0.72,-0.65,-1.29,-0.90,-1.62,-1.16,-1.21,-1.17,-1.25,-1.37,-1.06
-0.46,-0.32,-0.15,-0.66,0.37,-0.49,-0.60,-0.60,-0.17,-0.89,-0.68
-0.22,-0.13,0.37,0.43,0.79,0.12,0.42,0.39,0.28,0.50,0.37
-1.05,-1.02,-0.77,-0.42,-0.94,-0.72,-0.29,0.23,-0.70,-0.69,-0.63
0.59,0.36,0.89,0.68,0.53,1.21,-1.11,1.30,1.10,1.04,1.30
1.30,0.74,1.13,0.51,-0.17,0.60,1.20,1.14,0.35,1.25,1.06
1.18,1.29,2.17,2.69,2.39,1.33,1.33,0.89,1.36,1.45,1.65
0.16,-0.02,-1.20,-2.48,-0.77,-2.09,-1.18,-1.49,-1.50,-1.50,-1.50
1.53,-0.19,1.30,1.15,0.40,1.40,1.99,2.04,1.18,2.07,1.98
-1.20,-0.02,0.48,0.08,-0.90,1.25,1.23,1.02,1.72,1.10,1.51
-1.15,-1.10,-1.04,-1.69,-0.65,-1.61,0.42,-0.62,-0.91,-0.86,-0.83
1.41,0.42,0.92,1.74,1.58,1.08,1.26,1.43,1.09,1.54,1.85
-1.75,-1.61,-1.15,-1.87,-1.51,-1.26,-1.72,-1.62,-1.59,-1.12,-1.19
-1.07,-0.96,-1.32,-0.71,-1.76,-0.54,-1.05,-0.81,-1.50,-1.15,-1.06
-1.21,-1.38,-0.58,0.42,0.25,-0.41,-0.57,-0.47,-0.39,-0.34,-0.38
0.05,-0.54,-0.15,0.44,-0.86,0.13,0.09,1.17,0.06,0.50,0.08
0.14,-0.54,0.35,-0.63,-0.14,-0.52,0.41,0.18,-0.60,0.16,0.23
-0.07,-0.76,0.42,-0.03,0.12,0.01,0.04,0.03,0.27,0.59,0.71
-0.74,-0.81,-0.57,-0.43,1.32,-0.71,-0.82,-0.62,-0.56,-0.90,-0.84
-0.43,0.40,-1.63,-1.08,-0.92,-0.77,-1.04,-1.06,-0.69,-0.50,-0.54
-0.63,-0.55,0.36,-0.75,-0.41,-1.25,-1.13,-0.92,-2.36,-0.57,-0.53
-0.25,-1.49,1.30,0.51,1.55,1.18,0.41,1.06,0.27,0.29,0.67
-2.35,-2.47,-2.00,-1.75,-2.24,-1.42,-0.92,-1.22,-1.21,-0.74,-0.99
0.95,1.89,1.05,1.21,1.40,1.52,1.25,1.45,1.20,1.35,1.20
0.59,0.46,1.38,1.00,0.33,0.77,0.62,0.64,0.43,0.77,0.52
-1.30,-1.04,-1.77,-1.92,-1.38,-1.84,-1.68,-1.89,-1.22,-1.39,-1.50
0.48,0.49,0.67,-0.23,-0.62,-0.40,-0.66,-0.50,-0.33,-0.64,-0.91
0.41,0.56,-0.62,0.07,0.17,-0.21,-0.40,-0.71,-0.03,-0.65,-0.70
