Tra My,Kham Duc,Tien Phuoc,Nong Son,Thanh My,Giao Thuy,Cau Lau,Hoi An,Ai Nghia,Cam Le,Da Nang
-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50
0.41,0.55,1.71,1.26,1.18,1.11,0.60,0.70,0.62,0.03,0.11
0.62,0.52,0.71,1.00,0.12,0.42,0.19,0.51,0.09,-0.30,-0.24
1.05,0.82,1.15,1.36,0.87,1.14,1.08,1.36,0.65,0.76,0.71
-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50
1.10,0.46,0.10,0.12,-0.66,-0.23,1.37,1.68,-0.44,1.07,1.58
1.26,0.40,0.21,0.76,1.52,0.84,1.26,1.27,0.52,1.13,1.28
1.82,0.09,0.55,1.22,1.93,1.21,1.19,1.29,1.02,0.94,1.19
2.46,0.96,1.15,2.13,2.57,1.53,1.26,1.33,1.44,1.58,1.50
2.15,0.98,1.17,1.97,1.13,1.31,0.19,0.30,1.07,0.46,0.32
1.27,1.38,1.93,1.60,1.23,1.62,0.46,0.45,1.21,1.06,0.65
-0.43,0.30,0.07,0.07,-0.28,0.08,-0.87,-0.87,-0.49,-0.88,-0.74
1.13,0.74,0.34,0.74,0.08,0.48,0.56,0.95,0.06,0.58,0.55
-0.63,-0.92,-0.15,0.24,0.81,-0.34,-0.26,-0.08,-0.25,0.16,0.19
-1.29,-1.17,-0.90,-0.67,-0.81,-0.97,-0.78,-0.58,-0.80,-0.73,-0.69
-0.59,-0.53,0.14,0.19,0.08,0.10,-0.31,0.75,0.10,0.28,0.25
1.05,0.62,0.61,0.61,0.48,0.86,1.27,1.33,0.54,1.28,1.69
0.74,0.55,1.80,1.76,2.36,0.66,0.39,0.18,0.76,0.71,0.96
1.40,0.81,1.74,0.95,1.17,0.42,0.64,0.19,0.29,0.75,0.85
1.44,0.26,1.57,1.29,0.94,0.88,1.33,1.06,0.78,1.67,1.70
0.69,-0.28,0.66,0.20,-0.64,0.93,1.38,1.08,1.07,1.76,1.94
0.36,-0.81,0.77,0.08,-0.84,0.78,1.53,1.23,1.28,1.71,2.02
0.31,-0.41,0.48,0.77,0.96,0.92,1.40,1.25,1.48,1.33,1.78
-0.78,-1.51,-0.80,-0.79,-0.06,-0.79,-0.55,-0.51,-0.85,-0.40,-0.17
-0.83,-0.73,-0.33,-0.18,-0.60,0.08,-0.95,0.91,-0.18,0.05,0.09
-0.59,-0.06,1.01,1.29,1.17,0.79,0.35,0.63,0.30,0.78,0.37
-0.47,-0.87,0.18,0.82,-0.27,0.11,-0.09,0.62,-0.10,0.42,0.01
-0.61,-1.20,-0.44,0.21,-0.46,-0.45,-0.23,0.29,-0.42,0.04,-0.17
0.20,0.00,0.64,0.41,0.32,0.99,-1.40,1.26,0.75,1.05,1.26
-1.54,-1.75,-1.36,-1.27,0.64,-1.06,-1.44,-1.25,-1.68,-1.36,-1.50
-1.26,-0.61,-1.30,-1.50,0.15,-1.25,-1.23,-1.19,-0.89,-0.69,-0.71
-1.08,-0.45,-0.50,-1.43,-0.19,-1.45,-1.41,-1.34,-1.96,-0.98,-1.07
-0.81,-0.79,0.30,-1.18,0.04,-0.17,-0.60,-0.08,-1.35,-0.60,-0.25
-1.75,-1.88,0.14,-1.45,-0.71,-0.53,-0.79,-0.33,-1.74,-1.04,-0.86
-0.17,0.39,0.82,0.37,1.11,1.37,0.72,1.21,0.79,0.86,0.74
0.46,0.82,1.42,1.08,0.73,1.16,0.81,1.00,0.67,1.10,0.65
-0.23,-0.89,-0.38,-0.24,-0.84,-0.47,0.05,0.78,-0.38,0.29,-0.02
0.03,-0.41,0.77,-0.39,-1.42,-0.41,-0.66,-0.85,-0.37,-0.57,-0.73
0.37,0.31,-0.09,-0.23,-0.67,-0.37,-0.73,-0.96,-0.17,-0.70,-0.60
0.39,0.59,0.10,-0.13,-0.36,-0.59,-0.74,-0.90,-0.26,-0.85,-0.94
-0.19,-0.68,-0.03,-0.60,-0.05,-0.50,0.12,-0.24,-0.53,-0.02,-0.06
-1.44,-1.03,-1.70,-1.22,-0.93,-0.64,-1.22,-1.11,-0.44,-0.62,-1.11
-0.85,-1.12,-0.32,0.30,-0.40,-0.08,-0.40,-0.21,0.10,-0.06,-0.07
-1.06,-1.56,-0.50,-0.09,-0.24,-0.25,-0.07,0.48,-0.71,0.33,0.32
-0.53,-2.38,0.27,-0.09,0.13,-0.09,-0.37,0.01,-0.80,-0.12,0.36
-0.46,-2.50,-0.28,-0.67,-0.29,-0.05,-0.82,-0.35,-1.25,-0.58,-0.33
-0.65,-2.39,0.53,-0.61,-0.91,-0.17,-0.65,-1.13,-0.98,-0.82,-1.28
-0.65,-1.98,-0.15,-0.34,-1.61,-0.03,-0.23,-0.56,-0.22,-0.35,-0.45
0.22,0.54,-0.47,0.22,0.21,-0.24,-0.18,-0.69,0.10,-0.43,-0.57
-0.87,-0.58,-1.10,-1.63,-2.00,-1.73,-2.01,-2.38,-1.65,-2.44,-2.54
-0.40,-0.09,-0.14,-0.39,-0.82,-1.24,-1.61,-2.42,-0.84,-1.84,-1.90
-0.38,-0.16,-0.39,-0.23,-0.71,-1.05,-1.17,-1.65,-0.87,-1.53,-1.61
-0.13,0.29,0.23,0.37,0.34,0.06,0.32,-0.18,0.36,0.08,-0.12
-1.10,-0.54,-0.66,-0.03,-0.45,0.16,0.44,-0.22,0.06,-0.14,-0.47
-0.35,0.29,-1.07,-0.62,-0.14,-0.99,-0.82,-1.14,-0.91,-1.31,-1.30
-0.34,-0.20,-0.90,0.34,0.52,0.55,-0.19,-0.92,-0.11,-1.21,-0.88
0.75,0.32,0.02,0.54,0.82,1.13,1.09,0.36,0.50,0.39,0.25
1.34,0.21,1.24,1.36,1.91,1.82,1.59,0.92,1.34,1.53,1.54
2.63,0.87,1.27,0.58,0.93,0.71,1.04,0.46,0.35,0.89,0.53
0.39,0.06,0.15,-0.71,0.23,-0.68,-0.57,-1.10,-0.65,-0.86,-0.99
-0.25,-0.11,-0.44,0.15,0.28,-0.96,-0.90,-1.35,-0.59,-0.93,-1.07
2.18,1.71,0.52,0.82,0.36,0.42,-0.07,-0.08,0.53,-0.80,-0.79
1.27,0.76,0.15,0.65,0.11,0.37,-0.07,0.42,0.34,-0.74,-0.62
1.68,1.10,0.80,0.71,-0.19,0.62,0.50,0.79,0.50,0.30,-0.27
-1.09,-0.69,-0.85,-1.00,-0.99,-1.09,-0.82,-1.00,-1.11,-0.72,-1.02
-0.78,-0.63,-0.27,-1.18,-1.00,-1.32,-1.70,-1.50,-1.37,-1.27,-1.15
-0.56,-0.54,0.14,0.02,-1.11,-0.80,-0.84,-0.73,-1.06,-0.65,-0.54
-0.69,-0.54,-1.52,-0.62,-0.93,-1.95,-1.03,-1.50,-0.47,-0.80,-0.83
